,Nurse,2023-12-01-mañana,2023-12-01-tarde,2023-12-02-mañana,2023-12-02-tarde,2023-12-03-mañana,2023-12-03-tarde,2023-12-04-mañana,2023-12-04-tarde,2023-12-05-mañana,2023-12-05-tarde,2023-12-06-mañana,2023-12-06-tarde,2023-12-07-mañana,2023-12-07-tarde,2023-12-08-mañana,2023-12-08-tarde,2023-12-09-mañana,2023-12-09-tarde,2023-12-10-mañana,2023-12-10-tarde,2023-12-11-mañana,2023-12-11-tarde,2023-12-12-mañana,2023-12-12-tarde,2023-12-13-mañana,2023-12-13-tarde,2023-12-14-mañana,2023-12-14-tarde,2023-12-15-mañana,2023-12-15-tarde,2023-12-16-mañana,2023-12-16-tarde,2023-12-17-mañana,2023-12-17-tarde,2023-12-18-mañana,2023-12-18-tarde,2023-12-19-mañana,2023-12-19-tarde,2023-12-20-mañana,2023-12-20-tarde,2023-12-21-mañana,2023-12-21-tarde,2023-12-22-mañana,2023-12-22-tarde,2023-12-23-mañana,2023-12-23-tarde,2023-12-24-mañana,2023-12-24-tarde,2023-12-25-mañana,2023-12-25-tarde,2023-12-26-mañana,2023-12-26-tarde,2023-12-27-mañana,2023-12-27-tarde,2023-12-28-mañana,2023-12-28-tarde,2023-12-29-mañana,2023-12-29-tarde,2023-12-30-mañana,2023-12-30-tarde,2023-12-31-mañana,2023-12-31-tarde,objective_1,objective_2
36,person_4,M,-,-,-,M,-,-,CHX,-,T1,-,CHX,-,T2,-,-,-,-,-,T1,-,T1,-,T1,-,T2,-,T2,-,T1,-,-,-,-,-,T1,-,T1,-,CHX,-,-,-,-,-,T1,-,-,-,T1,-,T1,-,T1,-,-,-,T2,-,-,-,T1,16.0,10.5625
37,person_6,M,-,DISP,-,-,-,COM,-,-,-,-,-,-,-,DISP,-,DISP,-,-,-,-,T1,-,T2,-,-,-,T1,-,T2,-,-,-,-,M,-,-,-,M,-,COM,-,COM,-,-,-,DISP,-,DISP,-,COM,-,COM,-,M,-,M,-,DISP,-,-,-,16.0,10.5625
38,person_1,-,CHX,-,T1,-,-,-,T2,-,T2,-,-,-,T1,-,T1,-,-,-,-,-,CHX,-,-,-,CHX,-,T2,-,CHX,-,-,-,T1,-,T1,-,-,-,-,-,T1,-,CHX,-,-,-,-,-,T1,-,T2,-,CHX,-,T1,-,T1,-,T1,-,-,16.0,10.5625
39,person_9,-,T1,-,T1,-,-,-,T2,-,CHX,-,T2,-,CHX,-,T1,-,T1,-,-,M,-,M,-,COM,-,COM,-,M,-,M,-,-,-,COM,-,COM,-,COM,-,M,-,M,-,DISP,-,-,-,-,T1,-,CHX,-,T2,-,T2,-,-,-,-,-,-,16.0,10.5625
40,person_5,-,-,-,-,-,-,M,-,M,-,-,-,M,-,DISP,-,-,-,-,-,M,-,-,-,-,-,M,-,M,-,-,-,DISP,-,M,-,M,-,M,-,M,-,-,-,-,-,-,-,M,-,-,-,M,-,-,-,M,-,M,-,-,-,16.0,10.5625
41,person_3,-,-,-,-,DISP,-,COM,-,COM,-,M,-,COM,-,M,-,M,-,-,-,-,T2,-,-,-,T1,-,CHX,-,-,-,-,-,-,M,-,M,-,-,-,M,-,COM,-,-,-,M,-,M,-,M,-,-,-,M,-,COM,-,-,-,DISP,-,16.0,10.5625
42,person_2,COM,-,-,-,-,-,-,T1,-,-,-,T1,-,T2,-,-,-,T1,-,-,-,CHX,-,CHX,-,-,-,-,-,T2,-,T1,-,-,-,T2,-,CHX,-,T1,-,CHX,-,T2,-,-,-,T1,-,-,-,-,-,-,-,CHX,-,CHX,-,-,-,T2,16.0,10.5625
43,person_8,-,T2,-,-,-,T1,-,-,M,-,M,-,M,-,M,-,-,-,M,-,-,-,M,-,M,-,M,-,COM,-,-,-,M,-,M,-,-,-,M,-,M,-,M,-,M,-,-,-,-,-,-,-,-,-,-,T2,-,-,-,-,-,-,16.0,10.5625
44,person_7,-,-,M,-,-,-,M,-,-,-,COM,-,-,-,-,-,-,-,DISP,-,COM,-,COM,-,M,-,-,-,-,-,DISP,-,-,-,-,CHX,-,T2,-,T2,-,T2,-,T1,-,-,-,-,-,-,M,-,M,-,COM,-,M,-,-,-,M,-,16.0,10.5625
0,person_4,COM,-,-,-,DISP,-,-,T1,-,T1,-,T2,-,CHX,-,-,-,-,-,-,-,T1,-,T1,-,T2,-,-,-,T2,-,-,-,T1,-,CHX,-,CHX,-,CHX,-,-,-,-,-,-,-,T1,-,T1,-,T1,-,T1,-,CHX,-,T2,-,-,-,CHX,17.0,10.1875
1,person_6,COM,-,M,-,-,-,-,CHX,-,-,-,CHX,-,T1,-,T1,-,-,-,-,M,-,COM,-,-,-,COM,-,M,-,M,-,-,-,M,-,-,-,M,-,COM,-,COM,-,DISP,-,-,-,DISP,-,-,-,-,-,COM,-,COM,-,M,-,-,-,17.0,10.1875
2,person_1,-,CHX,-,T1,-,-,-,T2,-,T2,-,-,-,T2,-,-,-,T1,-,-,COM,-,-,-,M,-,M,-,M,-,-,-,-,-,-,T2,-,T2,-,-,-,T1,-,CHX,-,T1,-,-,-,T1,-,T2,-,T2,-,T1,-,CHX,-,-,-,T1,17.0,10.1875
3,person_9,-,T2,-,-,-,T1,-,T1,-,CHX,-,T1,-,CHX,-,T1,-,-,-,-,M,-,M,-,COM,-,COM,-,COM,-,-,-,DISP,-,COM,-,COM,-,COM,-,COM,-,M,-,M,-,-,-,-,T1,-,CHX,-,CHX,-,T2,-,T1,-,T1,-,-,17.0,10.1875
4,person_5,-,T1,-,-,-,-,M,-,COM,-,-,-,COM,-,DISP,-,M,-,-,-,-,-,-,-,-,-,M,-,-,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,DISP,-,M,-,-,-,COM,-,-,-,M,-,-,-,-,-,17.0,10.1875
5,person_3,M,-,-,-,M,-,M,-,M,-,M,-,-,-,M,-,-,-,DISP,-,-,T2,-,-,-,CHX,-,CHX,-,T1,-,-,-,-,M,-,M,-,-,-,COM,-,M,-,-,-,M,-,-,-,M,-,-,-,M,-,COM,-,-,-,DISP,-,17.0,10.1875
6,person_2,-,T1,-,-,-,-,-,T1,-,-,-,-,-,CHX,-,T1,-,-,-,T1,-,CHX,-,CHX,-,-,-,T2,-,T1,-,T1,-,-,-,T1,-,-,-,T2,-,CHX,-,T2,-,-,-,T1,-,-,-,-,M,-,M,-,-,-,-,-,M,-,17.0,10.1875
7,person_8,COM,-,-,-,-,-,COM,-,COM,-,COM,-,M,-,-,-,DISP,-,-,-,-,-,-,T2,-,T1,-,T1,-,CHX,-,T1,-,-,COM,-,-,-,M,-,M,-,-,-,-,-,-,-,-,-,M,-,-,-,M,-,M,-,-,-,-,-,17.0,10.1875
8,person_7,M,-,DISP,-,-,-,-,-,M,-,M,-,M,-,-,-,-,-,M,-,-,-,M,-,M,-,-,-,M,-,DISP,-,-,-,-,CHX,-,T1,-,T1,-,T2,-,T1,-,-,-,-,-,-,COM,-,M,-,COM,-,-,-,DISP,-,-,-,17.0,10.1875
